pmid,pmc,doi,File,publisher-id,pii,other
15447791,PMC522817,10.1186/1471-2407-4-67,PMC000xxxxxx/PMC522817.xml,1471-2407-4-67,,
15450122,PMC522818,10.1186/1471-2407-4-68,PMC000xxxxxx/PMC522818.xml,1471-2407-4-68,,
15447790,PMC522819,10.1186/1471-2474-5-33,PMC000xxxxxx/PMC522819.xml,1471-2474-5-33,,
15363103,PMC522820,10.1186/1471-2482-4-10,PMC000xxxxxx/PMC522820.xml,1471-2482-4-10,,
15380049,PMC522821,10.1186/1479-5876-2-31,PMC000xxxxxx/PMC522821.xml,1479-5876-2-31,,
15453909,PMC522822,10.1186/1475-2891-3-17,PMC000xxxxxx/PMC522822.xml,1475-2891-3-17,,
15369592,PMC522823,10.1186/1476-072X-3-19,PMC000xxxxxx/PMC522823.xml,1476-072X-3-19,,
15380050,PMC522824,10.1186/1477-7800-1-7,PMC000xxxxxx/PMC522824.xml,1477-7800-1-7,,
15453910,PMC522825,10.1186/1475-2891-3-16,PMC000xxxxxx/PMC522825.xml,1475-2891-3-16,,
15363100,PMC522826,10.1186/1475-2891-3-13,PMC000xxxxxx/PMC522826.xml,1475-2891-3-13,,
15345045,PMC522868,10.1186/gb-2004-5-9-r61,PMC000xxxxxx/PMC522868.xml,gb-2004-5-9-r61,,
15345046,PMC522869,10.1186/gb-2004-5-9-r62,PMC000xxxxxx/PMC522869.xml,gb-2004-5-9-r62,,
15345047,PMC522870,10.1186/gb-2004-5-9-r63,PMC000xxxxxx/PMC522870.xml,gb-2004-5-9-r63,,
15345048,PMC522871,10.1186/gb-2004-5-9-r64,PMC000xxxxxx/PMC522871.xml,gb-2004-5-9-r64,,
15345049,PMC522872,10.1186/gb-2004-5-9-r65,PMC000xxxxxx/PMC522872.xml,gb-2004-5-9-r65,,
15345050,PMC522873,10.1186/gb-2004-5-9-r66,PMC000xxxxxx/PMC522873.xml,gb-2004-5-9-r66,,
15345051,PMC522874,10.1186/gb-2004-5-9-r67,PMC000xxxxxx/PMC522874.xml,gb-2004-5-9-r67,,
15345052,PMC522875,10.1186/gb-2004-5-9-r68,PMC000xxxxxx/PMC522875.xml,gb-2004-5-9-r68,,
15345053,PMC522876,10.1186/gb-2004-5-9-r69,PMC000xxxxxx/PMC522876.xml,gb-2004-5-9-r69,,
15345054,PMC522877,10.1186/gb-2004-5-9-r70,PMC000xxxxxx/PMC522877.xml,gb-2004-5-9-r70,,
15345055,PMC522878,10.1186/gb-2004-5-9-r71,PMC000xxxxxx/PMC522878.xml,gb-2004-5-9-r71,,
15345056,PMC522879,10.1186/gb-2004-5-9-r72,PMC000xxxxxx/PMC522879.xml,gb-2004-5-9-r72,,
15492775,PMC523228,10.1371/journal.pbio.0020352,PMC000xxxxxx/PMC523228.xml,,,
15492776,PMC523229,10.1371/journal.pbio.0020355,PMC000xxxxxx/PMC523229.xml,,,
15492777,PMC523230,10.1371/journal.pbio.0020356,PMC000xxxxxx/PMC523230.xml,,,
,PMC523231,10.1371/journal.pbio.0020388,PMC000xxxxxx/PMC523231.xml,,,
,PMC523232,10.1371/journal.pbio.0020392,PMC000xxxxxx/PMC523232.xml,,,
,PMC523233,10.1371/journal.pbio.0020395,PMC000xxxxxx/PMC523233.xml,,,
,PMC523234,10.1371/journal.pbio.0020409,PMC000xxxxxx/PMC523234.xml,,,
15526039,PMC523824,10.1371/journal.pmed.0010001,PMC000xxxxxx/PMC523824.xml,,,
,PMC523825,10.1371/journal.pmed.0010002,PMC000xxxxxx/PMC523825.xml,,,
15526050,PMC523826,10.1371/journal.pmed.0010003,PMC000xxxxxx/PMC523826.xml,,,
15526052,PMC523827,10.1371/journal.pmed.0010004,PMC000xxxxxx/PMC523827.xml,,,
15526053,PMC523828,10.1371/journal.pmed.0010005,PMC000xxxxxx/PMC523828.xml,,,
15526054,PMC523829,10.1371/journal.pmed.0010006,PMC000xxxxxx/PMC523829.xml,,,
15526057,PMC523831,10.1371/journal.pmed.0010009,PMC000xxxxxx/PMC523831.xml,,,
15526040,PMC523832,10.1371/journal.pmed.0010010,PMC000xxxxxx/PMC523832.xml,,,
15526041,PMC523834,10.1371/journal.pmed.0010013,PMC000xxxxxx/PMC523834.xml,,,
15526042,PMC523835,10.1371/journal.pmed.0010014,PMC000xxxxxx/PMC523835.xml,,,
15526043,PMC523836,10.1371/journal.pmed.0010015,PMC000xxxxxx/PMC523836.xml,,,
15526044,PMC523837,10.1371/journal.pmed.0010018,PMC000xxxxxx/PMC523837.xml,,,
15526045,PMC523838,10.1371/journal.pmed.0010019,PMC000xxxxxx/PMC523838.xml,,,
15526047,PMC523839,10.1371/journal.pmed.0010020,PMC000xxxxxx/PMC523839.xml,,,
17523248,PMC523840,10.1371/journal.pmed.0010022,PMC000xxxxxx/PMC523840.xml,,,
,PMC523841,10.1371/journal.pmed.0010023,PMC000xxxxxx/PMC523841.xml,,,
,PMC523842,10.1371/journal.pmed.0010024,PMC000xxxxxx/PMC523842.xml,,,
,PMC523843,10.1371/journal.pmed.0010025,PMC000xxxxxx/PMC523843.xml,,,
15526049,PMC523844,10.1371/journal.pmed.0010027,PMC000xxxxxx/PMC523844.xml,,,
,PMC523845,10.1371/journal.pmed.0010029,PMC000xxxxxx/PMC523845.xml,,,
,PMC523846,10.1371/journal.pmed.0010030,PMC000xxxxxx/PMC523846.xml,,,
,PMC523847,10.1371/journal.pmed.0010031,PMC000xxxxxx/PMC523847.xml,,,
15526055,PMC523848,10.1371/journal.pmed.0010007,PMC000xxxxxx/PMC523848.xml,,,
15453917,PMC523849,10.1186/1471-2105-5-139,PMC000xxxxxx/PMC523849.xml,1471-2105-5-139,,
15369604,PMC523850,10.1186/1471-2105-5-131,PMC000xxxxxx/PMC523850.xml,1471-2105-5-131,,
15387892,PMC523851,10.1186/1471-2202-5-37,PMC000xxxxxx/PMC523851.xml,1471-2202-5-37,,
15447792,PMC523852,10.1186/1471-2350-5-24,PMC000xxxxxx/PMC523852.xml,1471-2350-5-24,,
15458579,PMC523853,10.1186/1471-2105-5-141,PMC000xxxxxx/PMC523853.xml,1471-2105-5-141,,
15453912,PMC523854,10.1186/1471-2377-4-13,PMC000xxxxxx/PMC523854.xml,1471-2377-4-13,,
15357876,PMC523855,10.1186/1471-2148-4-32,PMC000xxxxxx/PMC523855.xml,1471-2148-4-32,,
15447786,PMC523856,10.1186/1742-4690-1-29,PMC000xxxxxx/PMC523856.xml,1742-4690-1-29,,
15461812,PMC523857,10.1186/1476-511X-3-21,PMC000xxxxxx/PMC523857.xml,1476-511X-3-21,,
15461815,PMC523858,10.1186/1476-0711-3-19,PMC000xxxxxx/PMC523858.xml,1476-0711-3-19,,
15385049,PMC523859,10.1186/1477-7525-2-54,PMC000xxxxxx/PMC523859.xml,1477-7525-2-54,,
