pmid,pmc,doi,File,publisher-id,sici,pii,other,medline,manuscript
16248677,PMC1275522,10.1371/journal.pbio.0030378,PMC001xxxxxx/PMC1275522.xml,,,,,,
16248678,PMC1275523,10.1371/journal.pbio.0030381,PMC001xxxxxx/PMC1275523.xml,,,,,,
16248679,PMC1275524,10.1371/journal.pbio.0030384,PMC001xxxxxx/PMC1275524.xml,,,,,,
16248680,PMC1275525,10.1371/journal.pbio.0030386,PMC001xxxxxx/PMC1275525.xml,,,,,,
,PMC1275526,10.1371/journal.pbio.0030398,PMC001xxxxxx/PMC1275526.xml,,,,,,
,PMC1275527,10.1371/journal.pbio.0030400,PMC001xxxxxx/PMC1275527.xml,,,,,,
,PMC1275528,10.1371/journal.pbio.0030407,PMC001xxxxxx/PMC1275528.xml,,,,,,
,PMC1275529,10.1371/journal.pbio.0030413,PMC001xxxxxx/PMC1275529.xml,,,,,,
,PMC1275530,10.1371/journal.pbio.0030420,PMC001xxxxxx/PMC1275530.xml,,,,,,
16221310,PMC1276010,10.1186/1471-2105-6-249,PMC001xxxxxx/PMC1276010.xml,1471-2105-6-249,,,,,
16225691,PMC1276011,10.1186/1471-2334-5-84,PMC001xxxxxx/PMC1276011.xml,1471-2334-5-84,,,,,
16202139,PMC1276781,10.1186/1476-0711-4-16,PMC001xxxxxx/PMC1276781.xml,1476-0711-4-16,,,,,
16209718,PMC1276782,10.1186/1743-8462-2-22,PMC001xxxxxx/PMC1276782.xml,1743-8462-2-22,,,,,
16207377,PMC1276783,10.1186/1471-2105-6-244,PMC001xxxxxx/PMC1276783.xml,1471-2105-6-244,,,,,
16223442,PMC1276784,10.1186/1471-2105-6-250,PMC001xxxxxx/PMC1276784.xml,1471-2105-6-250,,,,,
16225690,PMC1276785,10.1186/1471-2105-6-256,PMC001xxxxxx/PMC1276785.xml,1471-2105-6-256,,,,,
16225696,PMC1276786,10.1186/1471-2105-6-257,PMC001xxxxxx/PMC1276786.xml,1471-2105-6-257,,,,,
16236170,PMC1276787,10.1186/1471-2105-6-260,PMC001xxxxxx/PMC1276787.xml,1471-2105-6-260,,,,,
16246260,PMC1276788,10.1186/1741-7007-3-23,PMC001xxxxxx/PMC1276788.xml,1741-7007-3-23,,,,,
16229746,PMC1276789,10.1186/1471-2407-5-134,PMC001xxxxxx/PMC1276789.xml,1471-2407-5-134,,,,,
16236176,PMC1276790,10.1186/1471-2407-5-135,PMC001xxxxxx/PMC1276790.xml,1471-2407-5-135,,,,,
16229745,PMC1276791,10.1186/1471-2148-5-55,PMC001xxxxxx/PMC1276791.xml,1471-2148-5-55,,,,,
16242048,PMC1276792,10.1186/1471-2296-6-43,PMC001xxxxxx/PMC1276792.xml,1471-2296-6-43,,,,,
16242023,PMC1276793,10.1186/1471-2164-6-145,PMC001xxxxxx/PMC1276793.xml,1471-2164-6-145,,,,,
16225694,PMC1276794,10.1186/1471-2334-5-85,PMC001xxxxxx/PMC1276794.xml,1471-2334-5-85,,,,,
16229749,PMC1276795,10.1186/1471-2334-5-87,PMC001xxxxxx/PMC1276795.xml,1471-2334-5-87,,,,,
16242013,PMC1276796,10.1186/1471-2334-5-89,PMC001xxxxxx/PMC1276796.xml,1471-2334-5-89,,,,,
16236171,PMC1276797,10.1186/1471-2199-6-20,PMC001xxxxxx/PMC1276797.xml,1471-2199-6-20,,,,,
16242034,PMC1276798,10.1186/1741-7015-3-16,PMC001xxxxxx/PMC1276798.xml,1741-7015-3-16,,,,,
16225685,PMC1276799,10.1186/1471-2180-5-62,PMC001xxxxxx/PMC1276799.xml,1471-2180-5-62,,,,,
16242028,PMC1276800,10.1186/1471-2431-5-39,PMC001xxxxxx/PMC1276800.xml,1471-2431-5-39,,,,,
16216120,PMC1276801,10.1186/1746-6148-1-5,PMC001xxxxxx/PMC1276801.xml,1746-6148-1-5,,,,,
16250913,PMC1276802,10.1186/1476-7120-3-34,PMC001xxxxxx/PMC1276802.xml,1476-7120-3-34,,,,,
16207372,PMC1276803,10.1186/1478-811X-3-11,PMC001xxxxxx/PMC1276803.xml,1478-811X-3-11,,,,,
16212656,PMC1276804,10.1186/1745-0179-1-20,PMC001xxxxxx/PMC1276804.xml,1745-0179-1-20,,,,,
16209703,PMC1276805,10.1186/1744-8603-1-15,PMC001xxxxxx/PMC1276805.xml,1744-8603-1-15,,,,,
,PMC1276806,10.1186/1477-7517-2-20,PMC001xxxxxx/PMC1276806.xml,1477-7517-2-20,,,,,
16212668,PMC1276807,10.1186/1477-7525-3-61,PMC001xxxxxx/PMC1276807.xml,1477-7525-3-61,,,,,
16223447,PMC1276808,10.1186/1478-4491-3-10,PMC001xxxxxx/PMC1276808.xml,1478-4491-3-10,,,,,
16212672,PMC1276809,10.1186/1478-4491-3-9,PMC001xxxxxx/PMC1276809.xml,1478-4491-3-9,,,,,
16242043,PMC1276810,10.1186/1476-072X-4-25,PMC001xxxxxx/PMC1276810.xml,1476-072X-4-25,,,,,
16242032,PMC1276811,10.1186/1476-9255-2-11,PMC001xxxxxx/PMC1276811.xml,1476-9255-2-11,,,,,
16232318,PMC1276812,10.1186/1742-2094-2-23,PMC001xxxxxx/PMC1276812.xml,1742-2094-2-23,,,,,
16216127,PMC1276813,10.1186/1475-2875-4-50,PMC001xxxxxx/PMC1276813.xml,1475-2875-4-50,,,,,
16242042,PMC1276814,10.1186/1743-7075-2-30,PMC001xxxxxx/PMC1276814.xml,1743-7075-2-30,,,,,
16248895,PMC1276815,10.1186/1477-7827-3-57,PMC001xxxxxx/PMC1276815.xml,1477-7827-3-57,,,,,
16250912,PMC1276816,10.1186/1477-7827-3-58,PMC001xxxxxx/PMC1276816.xml,1477-7827-3-58,,,,,
16219107,PMC1276817,10.1186/1465-9921-6-116,PMC001xxxxxx/PMC1276817.xml,1465-9921-6-116,,,,,
16242029,PMC1276818,10.1186/1465-9921-6-120,PMC001xxxxxx/PMC1276818.xml,1465-9921-6-120,,,,,
16236165,PMC1276819,10.1186/1742-4682-2-43,PMC001xxxxxx/PMC1276819.xml,1742-4682-2-43,,,,,
16197553,PMC1276820,10.1186/1479-5876-3-37,PMC001xxxxxx/PMC1276820.xml,1479-5876-3-37,,,,,
16207383,PMC1276821,10.1186/1477-7819-3-65,PMC001xxxxxx/PMC1276821.xml,1477-7819-3-65,,,,,
16212671,PMC1276822,10.1186/1477-7819-3-66,PMC001xxxxxx/PMC1276822.xml,1477-7819-3-66,,,,,
16223445,PMC1276823,10.1186/1477-7819-3-68,PMC001xxxxxx/PMC1276823.xml,1477-7819-3-68,,,,,
16250918,PMC1276824,10.1186/1475-925X-4-59,PMC001xxxxxx/PMC1276824.xml,1475-925X-4-59,,,,,
16270923,PMC1277005,10.1186/1745-9974-1-3,PMC001xxxxxx/PMC1277005.xml,1745-9974-1-3,,,,,
16270928,PMC1277006,10.1186/1745-9974-1-4,PMC001xxxxxx/PMC1277006.xml,1745-9974-1-4,,,,,
16270932,PMC1277007,10.1186/1745-9974-1-5,PMC001xxxxxx/PMC1277007.xml,1745-9974-1-5,,,,,
16270933,PMC1277008,10.1186/1745-9974-1-6,PMC001xxxxxx/PMC1277008.xml,1745-9974-1-6,,,,,
16270937,PMC1277009,10.1186/1745-9974-1-7,PMC001xxxxxx/PMC1277009.xml,1745-9974-1-7,,,,,
16270935,PMC1277010,10.1186/1745-9974-1-8,PMC001xxxxxx/PMC1277010.xml,1745-9974-1-8,,,,,
16270939,PMC1277011,10.1186/1745-9974-1-9,PMC001xxxxxx/PMC1277011.xml,1745-9974-1-9,,,,,
16270929,PMC1277012,10.1186/1746-160X-1-4,PMC001xxxxxx/PMC1277012.xml,1746-160X-1-4,,,,,
16270926,PMC1277013,10.1186/1746-160X-1-5,PMC001xxxxxx/PMC1277013.xml,1746-160X-1-5,,,,,
16270927,PMC1277014,10.1186/1746-160X-1-6,PMC001xxxxxx/PMC1277014.xml,1746-160X-1-6,,,,,
16270942,PMC1277015,10.1186/1746-160X-1-7,PMC001xxxxxx/PMC1277015.xml,1746-160X-1-7,,,,,
16270924,PMC1277016,10.1186/1746-4811-1-3,PMC001xxxxxx/PMC1277016.xml,1746-4811-1-3,,,,,
16270938,PMC1277017,10.1186/1746-4811-1-4,PMC001xxxxxx/PMC1277017.xml,1746-4811-1-4,,,,,
16270934,PMC1277018,10.1186/1746-4811-1-5,PMC001xxxxxx/PMC1277018.xml,1746-4811-1-5,,,,,
16270944,PMC1277019,10.1186/1746-4811-1-6,PMC001xxxxxx/PMC1277019.xml,1746-4811-1-6,,,,,
16270943,PMC1277020,10.1186/1746-4811-1-7,PMC001xxxxxx/PMC1277020.xml,1746-4811-1-7,,,,,
